id,name_full,type
lewclarkst,Lewis-Clark State College,college
lewclarkor,Lewis and Clark College,college
lenoirrhyn,Lenoir-Rhyne College,college
lemoyne,LeMoyne College,college
lehigh,Lehigh University,college
lebvalley,Lebanon Valley College,college
laverneca,University of La Verne,college
latech,Louisiana Tech University,college
lasalle,LaSalle University,college
lanecol,Lane College,college
lambuthtn,Lambuth University,college
lamar,Lamar University,college
lakeforest,Lake Forest College,college
lafayette,Lafayette College,college
ladelga,Delgado Community College,college
lacollege,Louisiana College,college
kywkycc,West Kentucky Community and Technical College,college
kywesleyan,Kentucky Wesleyan College,college
kybella,Bellarmine College,college
kutztown,Kutztown University of Pennsylvania,college
ksstmaC,St. Mary's College,college
kspratt,Pratt Community College,college
kslabet,Labette Community College,college
kskccco,Kansas City Kansas Community College,college
ksjohns,Johnson County Community College,college
kshutch,Hutchinson Community College,college
ksgarde,Garden City Community College,college
ksftsco,Fort Scott Community College,college
kscowle,Cowley County Community College,college
ksbarto,Barton County Community College,college
knoxil,Knox College,college
kenyonoh,Kenyon College,college
kentucky,University of Kentucky,college
kentst,Kent State University,college
kennesawst,Kennesaw State University,college
kansasst,Kansas State University,college
kansas,University of Kansas,college
kalamazoo,Kalamazoo College,college
juniatapa,Juniata College,college
johnshpkns,Johns Hopkins University,college
johnbrwnar,John Brown University,college
jksonvilst,Jacksonville State University,college
jamesmad,James Madison University,college
jacksonvil,Jacksonville University,college
jacksonst,Jackson State University,college
ithacany,Ithaca College,college
iowast,Iowa State University,college
iowa,University of Iowa,college
iona,Iona College,college
invince,Vincennes University,college
indpolis,University of Indianapolis,college
indianast,Indiana State University,college
indianapa,Indiana University of Pennsylvania,college
indiana,Indiana University-Bloomington,college
inconco,Concordia Theological Seminary,college
incante,Canterbury College,college
ilwesleyan,Illinois Wesleyan University,college
ilwabas,Wabash Valley College,college
iltruma,Harry S Truman College,college
iltrito,Triton College,college
ilswijc,Southwestern Illinois College,college
ilstvia,St. Viator College,college
ilssjco,South Suburban College,college
ilshurt,Shurtleff College,college
ilseijc,Southeastern Illinois College,college
ilparkl,Parkland College,college
ilolney,Olney Central College,college
ilmount,Mount Morris College,college
