id,id_out,year,count
upenn,WSN,1895,3
vermont,CHC,1895,2
vermont,LAD,1895,2
villanova,STL,1895,2
wvirginia,PIT,1895,2
yale,CHC,1895,2
yale,SFG,1895,1
brown,ATL,1896,1
brown,STL,1896,1
bucknell,CIN,1896,2
bucknell,WAS,1896,1
bucknell,WSN,1896,1
cornellia,CHC,1896,2
denisonoh,LAD,1896,2
fordham,LOU,1896,2
georgetown,LOU,1896,2
hobartny,CIN,1896,2
holycross,ATL,1896,1
holycross,LOU,1896,1
holycross,PIT,1896,1
illinoisst,CHC,1896,2
johnshpkns,BLO,1896,2
kansas,CLV,1896,2
knoxil,STL,1896,2
manhattan,PHI,1896,2
mansfield,BLO,1896,1
mariettaoh,ATL,1896,2
michigan,BLO,1896,1
norwichvt,BLO,1896,2
norwichvt,SFG,1896,2
notredame,PHI,1896,2
ohiost,WAS,1896,2
ohiost,WSN,1896,2
scarolina,WAS,1896,2
scarolina,WSN,1896,2
stbonny,BLO,1896,1
stmarysca,BLO,1896,2
uofsouth,LOU,1896,1
vermont,LAD,1896,2
villanova,STL,1896,2
washcollmd,SFG,1896,1
brown,ATL,1897,1
brown,PHI,1897,1
brown,STL,1897,1
bucknell,CIN,1897,2
cornellia,CHC,1897,2
denisonoh,LAD,1897,2
georgetown,ATL,1897,2
georgetown,LOU,1897,1
georgetown,SFG,1897,1
georgetown,STL,1897,1
georgia,PHI,1897,2
hobartny,CIN,1897,2
holycross,CLV,1897,3
holycross,PIT,1897,2
holycross,WAS,1897,2
holycross,WSN,1897,2
illinoisst,CHC,1897,2
kansas,CLV,1897,1
manhattan,PHI,1897,2
mansfield,BLO,1897,1
mariettaoh,ATL,1897,2
michigan,BLO,1897,1
norwichvt,BLO,1897,2
norwichvt,SFG,1897,2
ohiost,WAS,1897,2
ohiost,WSN,1897,2
pavolan,LOU,1897,2
pittsburgh,PIT,1897,2
rollins,LOU,1897,1
scarolina,WAS,1897,2
scarolina,WSN,1897,2
stbonny,BLO,1897,1
stmarysca,BLO,1897,2
uofsouth,LOU,1897,1
villanova,STL,1897,2
washcollmd,SFG,1897,1
williamsma,CLV,1897,2
wvirginia,ATL,1897,2
yale,SFG,1897,1
yale,STL,1897,2
bowdoinme,WAS,1898,2
bowdoinme,WSN,1898,2
brown,ATL,1898,1
brown,PHI,1898,2
brown,STL,1898,1
bucknell,PIT,1898,2
cornellia,CHC,1898,2
delaware,ATL,1898,2
fordham,STL,1898,2
georgetown,PIT,1898,1
georgetown,SFG,1898,1
georgetown,STL,1898,2
hobartny,CIN,1898,2
holycross,CLV,1898,1
holycross,LOU,1898,1
holycross,WAS,1898,1
holycross,WSN,1898,1
illinoisst,CHC,1898,2
johnshpkns,BLO,1898,1
kenyonoh,CHC,1898,1
manhattan,CLV,1898,2
manhattan,STL,1898,2
mansfield,BLO,1898,1
mariettaoh,ATL,1898,2
michigan,BLO,1898,1
michigan,PIT,1898,1
newyorku,SFG,1898,1
norwichvt,BLO,1898,2
norwichvt,SFG,1898,2
pittsburgh,PIT,1898,2
rollins,CLV,1898,1
scarolina,BLO,1898,2
stbonny,BLO,1898,1
uofsouth,LOU,1898,1
villanova,PHI,1898,2
washcollmd,SFG,1898,1
williamsma,CHC,1898,2
wvirginia,ATL,1898,2
beloitwi,PIT,1899,1
bethanywv,LOU,1899,2
brown,ATL,1899,1
brown,BLO,1899,1
brown,CLV,1899,1
brown,PHI,1899,2
bucknell,PIT,1899,2
columbia,SFG,1899,2
delaware,ATL,1899,2
georgetown,CLV,1899,1
georgetown,PIT,1899,1
georgia,PIT,1899,2
grinnellia,ATL,1899,1
hampsydney,LAD,1899,2
hampsydney,WAS,1899,2
hampsydney,WSN,1899,2
hobartny,CIN,1899,2
holycross,ATL,1899,2
holycross,CLV,1899,1
holycross,LOU,1899,1
holycross,WAS,1899,1
holycross,WSN,1899,1
illinoisst,CHC,1899,2
kenyonoh,CHC,1899,1
manhattan,CIN,1899,2
manhattan,STL,1899,2
mansfield,BLO,1899,1
mansfield,LAD,1899,2
mariettaoh,ATL,1899,2
mercer,BLO,1899,1
michigan,PIT,1899,1
newyorku,SFG,1899,1
niagara,LOU,1899,1
niagara,PHI,1899,1
niagara,WAS,1899,1
niagara,WSN,1899,1
norwichvt,SFG,1899,2
nycortland,LOU,1899,1
oberlinoh,LOU,1899,2
pavolan,LOU,1899,2
pennst,SFG,1899,1
pennst,WAS,1899,1
pennst,WSN,1899,1
pittsburgh,PIT,1899,2
rollins,CLV,1899,1
rollins,STL,1899,2
scarolina,LAD,1899,2
stbonny,BLO,1899,1
umass,CHC,1899,1
uofsouth,LOU,1899,1
upenn,PHI,1899,2
villanova,PHI,1899,2
virginia,LOU,1899,1
wisconsin,PIT,1899,1
wvirginia,ATL,1899,2
beloitwi,PIT,1900,1
brown,ATL,1900,1
bucknell,SFG,1900,2
delaware,ATL,1900,2
emichigan,CHC,1900,1
georgetown,CIN,1900,1
georgetown,PIT,1900,2
gettysburg,CIN,1900,2
grinnellia,SFG,1900,1
grovecity,CHC,1900,2
illinoisst,CHC,1900,2
kenyonoh,CHC,1900,1
kenyonoh,PHI,1900,1
mansfield,LAD,1900,1
mariettaoh,ATL,1900,2
michigan,SFG,1900,1
newyorku,SFG,1900,1
niagara,ATL,1900,1
norwichvt,SFG,1900,2
pavolan,PIT,1900,2
stbonny,STL,1900,1
uofsouth,CHC,1900,1
upenn,PHI,1900,2
villanova,PHI,1900,2
wisconsin,PIT,1900,3
wvirginia,SFG,1900,1
amherstma,SFG,1901,1
beloitwi,PIT,1901,1
brown,ATL,1901,2
brown,BOS,1901,1
brown,OAK,1901,2
bucknell,SFG,1901,2
dartmouth,ATL,1901,1
delaware,ATL,1901,2
emichigan,MIN,1901,1
estroud,STL,1901,2
fordham,ATL,1901,1
fordham,BAL,1901,1
fordham,BOS,1901,1
fordham,SFG,1901,1
georgetown,CIN,1901,1
georgetown,LAD,1901,1
georgetown,PHI,1901,2
georgia,BAL,1901,2
gettysburg,BOS,1901,2
gettysburg,CIN,1901,2
gettysburg,OAK,1901,2
grovecity,CHC,1901,2
hobartny,PIT,1901,1
holycross,ATL,1901,1
holycross,BAL,1901,1
holycross,CIN,1901,1
holycross,OAK,1901,2
ildixon,BAL,1901,1
illinoisst,CHW,1901,2
kansas,MIN,1901,2
kenyonoh,PHI,1901,1
mansfield,PHI,1901,1
mariettaoh,BOS,1901,2
mewestb,CHW,1901,2
michigan,SFG,1901,1
michiganst,DET,1901,2
newyorku,CHW,1901,1
newyorku,MIN,1901,1
niagara,ATL,1901,1
niagara,CHC,1901,1
niagara,PHI,1901,1
norwichvt,PIT,1901,2
norwichvt,SFG,1901,2
nycortland,OAK,1901,1
ohcaset,CLE,1901,2
pavolan,CHC,1901,2
pavolan,PIT,1901,2
rollins,BOS,1901,1
scarolina,LAD,1901,2
stbonny,NYY,1901,1
tuftsma,ATL,1901,1
unc,ATL,1901,2
uofsouth,CHC,1901,1
upenn,PHI,1901,1
villanova,CIN,1901,2
villanova,OAK,1901,1
villanova,PHI,1901,2
washcollmd,PHI,1901,2
washjeffpa,STL,1901,2
wisacre,BAL,1901,1
wisconsin,BAL,1901,2
wisconsin,DET,1901,1
wvirginia,SFG,1901,2
beloitwi,BOS,1902,2
beloitwi,PIT,1902,1
beloitwi,SFG,1902,2
bowdoinme,CHC,1902,2
brown,ATL,1902,1
brown,NYY,1902,1
brown,OAK,1902,1
brown,SFG,1902,3
bucknell,PIT,1902,1
bucknell,SFG,1902,2
bucknell,STL,1902,1
clemson,LAD,1902,2
dartmouth,ATL,1902,1
dartmouth,CLE,1902,2
delaware,ATL,1902,2
estroud,STL,1902,3
genevapa,CHC,1902,1
georgetown,DET,1902,1
georgetown,LAD,1902,1
georgetown,PHI,1902,2
georgia,BOS,1902,2
georgia,SFG,1902,2
gettysburg,BOS,1902,2
gettysburg,CIN,1902,2
gettysburg,OAK,1902,2
grovecity,ATL,1902,2
grovecity,CHC,1902,2
hamlinemn,MIN,1902,2
hamlinemn,NYY,1902,1
holycross,ATL,1902,2
holycross,OAK,1902,3
ildixon,BAL,1902,1
ildixon,CHC,1902,1
illinois,CHC,1902,2
illinoisst,CHW,1902,2
indiana,OAK,1902,2
kenyonoh,MIN,1902,1
kenyonoh,PHI,1902,1
maine,PIT,1902,2
manhattan,CIN,1902,2
manhattan,OAK,1902,1
manhattan,PHI,1902,1
manhattan,SFG,1902,2
mansfield,PHI,1902,1
michigan,DET,1902,1
michigan,SFG,1902,1
mtstmarys,OAK,1902,2
niagara,PHI,1902,1
norwichvt,PIT,1902,2
nwestern,CHC,1902,1
nwestern,SFG,1902,1
oberlinoh,MIN,1902,2
oberlinoh,PHI,1902,2
pavolan,OAK,1902,2
pittsburgh,CHC,1902,2
rollins,CLE,1902,1
rollins,OAK,1902,1
stbonny,NYY,1902,1
stbonny,SFG,1902,3
tuftsma,ATL,1902,2
tuftsma,CHC,1902,1
tuftsma,PIT,1902,1
tuftsma,STL,1902,1
unc,NYY,1902,2
uofsouth,ATL,1902,1
uofsouth,CHC,1902,1
upenn,PHI,1902,1
ursinus,PHI,1902,1
villanova,BAL,1902,2
villanova,PHI,1902,2
washcollmd,MIN,1902,2
washcollmd,STL,1902,1
washjeffpa,NYY,1902,1
wisacre,CLE,1902,2
wisconsin,BOS,1902,2
wisconsin,DET,1902,1
wisconsin,NYY,1902,1
wisconsin,OAK,1902,2
wvirginia,BOS,1902,1
wvirginia,CLE,1902,2
amherstma,STL,1903,2
beloitwi,NYY,1903,2
beloitwi,PIT,1903,1
bowdoinme,ATL,1903,2
bowdoinme,CHC,1903,2
bowdoinme,PHI,1903,2
brown,ATL,1903,1
brown,NYY,1903,1
brown,PHI,1903,2
brown,SFG,1903,1
bucknell,PIT,1903,3
bucknell,SFG,1903,2
bucknell,STL,1903,1
delaware,ATL,1903,2
erskine,MIN,1903,1
estroud,STL,1903,3
fordham,CHC,1903,2
fordham,CHW,1903,1
fordham,CLE,1903,1
fordham,LAD,1903,2
fordham,PHI,1903,1
fordham,PIT,1903,2
gatech,OAK,1903,2
georgetown,ATL,1903,1
georgetown,CHC,1903,1
georgetown,CHW,1903,2
georgetown,LAD,1903,1
georgetown,MIN,1903,1
georgia,PHI,1903,2
gettysburg,BOS,1903,2
gettysburg,OAK,1903,2
grinnellia,PIT,1903,2
grovecity,DET,1903,2
hamlinemn,MIN,1903,1
holycross,ATL,1903,2
holycross,OAK,1903,5
ildixon,CHC,1903,1
illinois,BOS,1903,1
illinois,CHC,1903,3
illinois,PIT,1903,2
illinoisst,NYY,1903,2
kenyonoh,PHI,1903,1
manhattan,DET,1903,1
manhattan,LAD,1903,2
manhattan,NYY,1903,1
mansfield,LAD,1903,1
maryland,DET,1903,1
michigan,SFG,1903,1
michiganst,CHW,1903,2
michiganst,OAK,1903,2
niagara,PHI,1903,1
norwichvt,PIT,1903,2
notredame,BOS,1903,2
nwestern,MIN,1903,1
pacarli,OAK,1903,2
pavolan,OAK,1903,2
rollins,OAK,1903,1
stanselm,STL,1903,1
stbonny,SFG,1903,1
stmarysca,CHC,1903,1
tennessee,STL,1903,2
uofsouth,ATL,1903,1
upenn,PHI,1903,1
villanova,BAL,1903,2
villanova,CLE,1903,2
washcollmd,MIN,1903,2
washcollmd,STL,1903,1
washjeffpa,DET,1903,1
washjeffpa,LAD,1903,1
wisacre,CLE,1903,2
wvirginia,CLE,1903,1
wvirginia,PIT,1903,1
amherstma,STL,1904,2
beloitwi,PIT,1904,1
brown,ATL,1904,1
brown,NYY,1904,1
brown,PHI,1904,2
brown,PIT,1904,2
bucknell,ATL,1904,1
bucknell,CIN,1904,1
bucknell,PIT,1904,4
bucknell,SFG,1904,3
bucknell,STL,1904,1
centreky,PIT,1904,2
cincy,CIN,1904,1
delaware,ATL,1904,2
erskine,ATL,1904,2
erskine,NYY,1904,1
estroud,CHC,1904,1
estroud,STL,1904,2
fordham,ATL,1904,1
fordham,LAD,1904,4
fordham,PIT,1904,2
fordham,STL,1904,1
gatech,OAK,1904,2
georgetown,ATL,1904,1
georgetown,BAL,1904,1
georgetown,CHW,1904,2
georgetown,MIN,1904,1
georgetown,SFG,1904,1
georgia,PHI,1904,2
gettysburg,BOS,1904,2
gettysburg,OAK,1904,2
grovecity,CHW,1904,2
grovecity,STL,1904,1
hamlinemn,DET,1904,1
hamlinemn,MIN,1904,1
harvard,NYY,1904,2
holycross,ATL,1904,2
holycross,OAK,1904,4
holycross,PIT,1904,1
ildixon,CHC,1904,1
illinois,CHC,1904,2
illinois,MIN,1904,1
illinoisst,NYY,1904,2
ilwesleyan,PIT,1904,1
kenyonoh,PHI,1904,1
manhattan,DET,1904,2
manhattan,MIN,1904,1
manhattan,OAK,1904,2
mdmdbal,BOS,1904,1
mdmdbal,NYY,1904,1
michigan,SFG,1904,2
michiganst,CHW,1904,2
niagara,CHC,1904,1
niagara,PHI,1904,1
notredame,BOS,1904,2
notredame,CIN,1904,1
pacarli,OAK,1904,2
pavolan,OAK,1904,2
rollins,MIN,1904,2
rollins,OAK,1904,1
sliprock,ATL,1904,1
sliprock,PHI,1904,1
sliprock,SFG,1904,2
stanford,STL,1904,1
stbonny,SFG,1904,1
stedwardtx,NYY,1904,1
stmarysca,STL,1904,2
tennessee,STL,1904,2
tuftsma,ATL,1904,1
upenn,PHI,1904,3
villanova,CLE,1904,2
washcollmd,MIN,1904,2
washcollmd,STL,1904,2
washjeffpa,LAD,1904,1
wisacre,CLE,1904,2
wisconsin,LAD,1904,1
wvirginia,CLE,1904,1
wvirginia,DET,1904,1
wvirginia,PIT,1904,1
amherstma,STL,1905,1
austincol,BAL,1905,2
beloitwi,PIT,1905,1
bloomsburg,LAD,1905,1
bostoncoll,CHW,1905,1
brown,ATL,1905,2
brown,NYY,1905,1
brown,PIT,1905,2
bucknell,ATL,1905,1
bucknell,CIN,1905,1
bucknell,PHI,1905,1
bucknell,SFG,1905,2
california,CIN,1905,2
cincy,CIN,1905,1
cornell,LAD,1905,1
delaware,ATL,1905,2
estroud,CHC,1905,1
fordham,ATL,1905,2
fordham,LAD,1905,4
gatech,OAK,1905,2
georgetown,BAL,1905,1
georgetown,CHW,1905,2
georgetown,SFG,1905,1
georgia,PHI,1905,2
gettysburg,BOS,1905,2
gettysburg,OAK,1905,2
grovecity,CHW,1905,2
grovecity,LAD,1905,2
grovecity,STL,1905,1
hamlinemn,DET,1905,1
harvard,NYY,1905,2
hiramoh,NYY,1905,1
holycross,NYY,1905,1
holycross,OAK,1905,4
holycross,STL,1905,1
illinois,CHC,1905,4
illinois,MIN,1905,4
illinoisst,NYY,1905,2
ilwesleyan,MIN,1905,1
iowast,STL,1905,2
kenyonoh,ATL,1905,1
knoxil,CLE,1905,2
manhattan,CLE,1905,2
manhattan,MIN,1905,1
manhattan,STL,1905,2
mdmdbal,BOS,1905,1
michigan,SFG,1905,1
michiganst,CHW,1905,2
niagara,CHC,1905,1
niagara,CIN,1905,1
notredame,BOS,1905,2
notredame,CHC,1905,2
notredame,MIN,1905,1
ohwesleyan,BAL,1905,1
pacarli,NYY,1905,2
pacarli,OAK,1905,2
pavolan,OAK,1905,2
pennst,ATL,1905,1
princeton,PIT,1905,2
rollins,OAK,1905,1
santaclara,NYY,1905,1
stbonny,SFG,1905,1
stedwardtx,NYY,1905,1
swesterntx,BAL,1905,2
tuftsma,ATL,1905,1
unc,SFG,1905,1
upenn,PHI,1905,3
villanova,CLE,1905,2
washcollmd,MIN,1905,2
washcollmd,STL,1905,2
washjeffpa,LAD,1905,1
wisacre,CLE,1905,2
wisacre,PIT,1905,1
wisacre,STL,1905,1
wvirginia,DET,1905,1
wvirginia,MIN,1905,1
wvirginia,PHI,1905,2
amherstma,PIT,1906,1
beloitwi,PIT,1906,1
blackbrnil,STL,1906,1
bloomsburg,LAD,1906,1
bostoncoll,CHW,1906,1
brown,ATL,1906,1
brown,PIT,1906,2
bucknell,PHI,1906,1
bucknell,SFG,1906,2
california,CHC,1906,2
california,CIN,1906,2
centreky,PIT,1906,2
cincy,CIN,1906,1
colbyme,OAK,1906,2
columbia,OAK,1906,1
cornell,LAD,1906,1
dartmouth,BOS,1906,2
davidson,OAK,1906,1
delaware,PIT,1906,2
estroud,ATL,1906,1
fordham,LAD,1906,5
fordham,OAK,1906,1
fordham,STL,1906,1
georgetown,CHW,1906,2
georgetown,SFG,1906,1
georgia,PHI,1906,2
gettysburg,BOS,1906,2
gettysburg,OAK,1906,2
grinnellia,STL,1906,2
grovecity,ATL,1906,1
grovecity,CHW,1906,2
grovecity,LAD,1906,2
grovecity,SFG,1906,1
grovecity,STL,1906,1
harvard,NYY,1906,2
hiramoh,NYY,1906,1
holycross,BOS,1906,2
holycross,CHC,1906,1
holycross,OAK,1906,3
holycross,STL,1906,1
ildixon,DET,1906,1
illinois,ATL,1906,2
